Date,Station,Duty Window Number,Rank,Fleet,Season,IrOps,Month,Month Number,Weekday,Weekday Number,Duty Window,Pairing Start Count,Multi-Day Pairing Count,INT Pairing Count,Standby Activation Count,Multi-Day Pairing Ratio,INT Pairing Ratio,Activation Rate
01-03-2025,DEL,1,CP,Airbus,1,0,March,3,Saturday,5,0-4,2,2,0,0,1,0,0
01-03-2025,DEL,1,FO,Airbus,1,0,March,3,Saturday,5,0-4,4,2,0,0,0.5,0,0
01-03-2025,DEL,2,CP,Airbus,1,0,March,3,Saturday,5,04-Aug,48,15,2,6,0.3125,0.0417,0.125
01-03-2025,DEL,2,FO,Airbus,1,0,March,3,Saturday,5,04-Aug,47,14,2,5,0.2979,0.0426,0.1064
01-03-2025,DEL,3,CP,Airbus,1,0,March,3,Saturday,5,08-Dec,31,7,8,4,0.2258,0.2581,0.129
01-03-2025,DEL,3,FO,Airbus,1,0,March,3,Saturday,5,08-Dec,24,3,4,3,0.125,0.1667,0.125
01-03-2025,DEL,4,CP,Airbus,1,0,March,3,Saturday,5,Dec-16,43,11,2,2,0.2558,0.0465,0.0465
01-03-2025,DEL,4,FO,Airbus,1,0,March,3,Saturday,5,Dec-16,37,7,2,13,0.1892,0.0541,0.3514
01-03-2025,DEL,5,CP,Airbus,1,0,March,3,Saturday,5,16-20,35,11,4,7,0.3143,0.1143,0.2
01-03-2025,DEL,5,FO,Airbus,1,0,March,3,Saturday,5,16-20,38,11,5,11,0.2895,0.1316,0.2895
01-03-2025,DEL,6,CP,Airbus,1,0,March,3,Saturday,5,20-24,29,16,6,7,0.5517,0.2069,0.2414
01-03-2025,DEL,6,FO,Airbus,1,0,March,3,Saturday,5,20-24,23,10,6,6,0.4348,0.2609,0.2609
02-03-2025,DEL,1,CP,Airbus,1,0,March,3,Sunday,6,0-4,3,1,0,0,0.3333,0,0
02-03-2025,DEL,1,FO,Airbus,1,0,March,3,Sunday,6,0-4,4,1,0,1,0.25,0,0.25
02-03-2025,DEL,2,CP,Airbus,1,0,March,3,Sunday,6,04-Aug,48,13,3,7,0.2708,0.0625,0.1458
02-03-2025,DEL,2,FO,Airbus,1,0,March,3,Sunday,6,04-Aug,49,13,4,10,0.2653,0.0816,0.2041
02-03-2025,DEL,3,CP,Airbus,1,0,March,3,Sunday,6,08-Dec,38,11,8,4,0.2895,0.2105,0.1053
02-03-2025,DEL,3,FO,Airbus,1,0,March,3,Sunday,6,08-Dec,32,5,4,7,0.1562,0.125,0.2188
02-03-2025,DEL,4,CP,Airbus,1,0,March,3,Sunday,6,Dec-16,34,8,3,9,0.2353,0.0882,0.2647
02-03-2025,DEL,4,FO,Airbus,1,0,March,3,Sunday,6,Dec-16,32,2,2,7,0.0625,0.0625,0.2188
02-03-2025,DEL,5,CP,Airbus,1,0,March,3,Sunday,6,16-20,45,13,5,9,0.2889,0.1111,0.2
02-03-2025,DEL,5,FO,Airbus,1,0,March,3,Sunday,6,16-20,30,9,6,6,0.3,0.2,0.2
02-03-2025,DEL,6,CP,Airbus,1,0,March,3,Sunday,6,20-24,27,14,6,5,0.5185,0.2222,0.1852
02-03-2025,DEL,6,FO,Airbus,1,0,March,3,Sunday,6,20-24,19,9,6,5,0.4737,0.3158,0.2632
03-03-2025,DEL,1,CP,Airbus,1,0,March,3,Monday,0,0-4,4,2,1,0,0.5,0.25,0
03-03-2025,DEL,1,FO,Airbus,1,0,March,3,Monday,0,0-4,5,3,0,0,0.6,0,0
03-03-2025,DEL,2,CP,Airbus,1,0,March,3,Monday,0,04-Aug,49,16,4,7,0.3265,0.0816,0.1429
03-03-2025,DEL,2,FO,Airbus,1,0,March,3,Monday,0,04-Aug,51,13,4,10,0.2549,0.0784,0.1961
03-03-2025,DEL,3,CP,Airbus,1,0,March,3,Monday,0,08-Dec,31,9,6,4,0.2903,0.1935,0.129
03-03-2025,DEL,3,FO,Airbus,1,0,March,3,Monday,0,08-Dec,28,6,4,5,0.2143,0.1429,0.1786
03-03-2025,DEL,4,CP,Airbus,1,0,March,3,Monday,0,Dec-16,45,8,2,7,0.1778,0.0444,0.1556
03-03-2025,DEL,4,FO,Airbus,1,0,March,3,Monday,0,Dec-16,34,5,2,7,0.1471,0.0588,0.2059
03-03-2025,DEL,5,CP,Airbus,1,0,March,3,Monday,0,16-20,32,13,4,2,0.4062,0.125,0.0625
03-03-2025,DEL,5,FO,Airbus,1,0,March,3,Monday,0,16-20,36,8,4,7,0.2222,0.1111,0.1944
03-03-2025,DEL,6,CP,Airbus,1,0,March,3,Monday,0,20-24,23,12,7,2,0.5217,0.3043,0.087
03-03-2025,DEL,6,FO,Airbus,1,0,March,3,Monday,0,20-24,20,9,7,6,0.45,0.35,0.3
04-03-2025,DEL,1,CP,Airbus,1,0,March,3,Tuesday,1,0-4,4,3,1,0,0.75,0.25,0
04-03-2025,DEL,1,FO,Airbus,1,0,March,3,Tuesday,1,0-4,5,4,0,1,0.8,0,0.2
04-03-2025,DEL,2,CP,Airbus,1,0,March,3,Tuesday,1,04-Aug,46,15,3,6,0.3261,0.0652,0.1304
04-03-2025,DEL,2,FO,Airbus,1,0,March,3,Tuesday,1,04-Aug,51,9,4,12,0.1765,0.0784,0.2353
04-03-2025,DEL,3,CP,Airbus,1,0,March,3,Tuesday,1,08-Dec,31,7,5,5,0.2258,0.1613,0.1613
04-03-2025,DEL,3,FO,Airbus,1,0,March,3,Tuesday,1,08-Dec,26,4,4,6,0.1538,0.1538,0.2308
04-03-2025,DEL,4,CP,Airbus,1,0,March,3,Tuesday,1,Dec-16,43,9,2,8,0.2093,0.0465,0.186
04-03-2025,DEL,4,FO,Airbus,1,0,March,3,Tuesday,1,Dec-16,43,9,2,4,0.2093,0.0465,0.093
04-03-2025,DEL,5,CP,Airbus,1,0,March,3,Tuesday,1,16-20,43,12,4,2,0.2791,0.093,0.0465
04-03-2025,DEL,5,FO,Airbus,1,0,March,3,Tuesday,1,16-20,36,8,4,8,0.2222,0.1111,0.2222
04-03-2025,DEL,6,CP,Airbus,1,0,March,3,Tuesday,1,20-24,19,10,6,3,0.5263,0.3158,0.1579
04-03-2025,DEL,6,FO,Airbus,1,0,March,3,Tuesday,1,20-24,19,9,6,1,0.4737,0.3158,0.0526
05-03-2025,DEL,1,CP,Airbus,1,0,March,3,Wednesday,2,0-4,5,2,0,1,0.4,0,0.2
05-03-2025,DEL,1,FO,Airbus,1,0,March,3,Wednesday,2,0-4,3,1,0,0,0.3333,0,0
05-03-2025,DEL,2,CP,Airbus,1,0,March,3,Wednesday,2,04-Aug,46,14,3,5,0.3043,0.0652,0.1087
05-03-2025,DEL,2,FO,Airbus,1,0,March,3,Wednesday,2,04-Aug,48,15,3,8,0.3125,0.0625,0.1667
05-03-2025,DEL,3,CP,Airbus,1,0,March,3,Wednesday,2,08-Dec,28,8,6,6,0.2857,0.2143,0.2143
05-03-2025,DEL,3,FO,Airbus,1,0,March,3,Wednesday,2,08-Dec,28,6,6,9,0.2143,0.2143,0.3214
05-03-2025,DEL,4,CP,Airbus,1,0,March,3,Wednesday,2,Dec-16,45,13,2,9,0.2889,0.0444,0.2
05-03-2025,DEL,4,FO,Airbus,1,0,March,3,Wednesday,2,Dec-16,39,9,2,6,0.2308,0.0513,0.1538
05-03-2025,DEL,5,CP,Airbus,1,0,March,3,Wednesday,2,16-20,34,8,4,3,0.2353,0.1176,0.0882
05-03-2025,DEL,5,FO,Airbus,1,0,March,3,Wednesday,2,16-20,34,7,4,3,0.2059,0.1176,0.0882
05-03-2025,DEL,6,CP,Airbus,1,0,March,3,Wednesday,2,20-24,21,11,7,4,0.5238,0.3333,0.1905
05-03-2025,DEL,6,FO,Airbus,1,0,March,3,Wednesday,2,20-24,24,12,7,4,0.5,0.2917,0.1667
06-03-2025,DEL,1,CP,Airbus,1,0,March,3,Thursday,3,0-4,5,3,1,0,0.6,0.2,0
06-03-2025,DEL,1,FO,Airbus,1,0,March,3,Thursday,3,0-4,4,2,1,1,0.5,0.25,0.25
06-03-2025,DEL,2,CP,Airbus,1,0,March,3,Thursday,3,04-Aug,44,13,2,6,0.2955,0.0455,0.1364
06-03-2025,DEL,2,FO,Airbus,1,0,March,3,Thursday,3,04-Aug,49,14,2,3,0.2857,0.0408,0.0612
06-03-2025,DEL,3,CP,Airbus,1,0,March,3,Thursday,3,08-Dec,32,8,6,2,0.25,0.1875,0.0625
06-03-2025,DEL,3,FO,Airbus,1,0,March,3,Thursday,3,08-Dec,24,3,4,4,0.125,0.1667,0.1667
06-03-2025,DEL,4,CP,Airbus,1,0,March,3,Thursday,3,Dec-16,44,9,4,6,0.2045,0.0909,0.1364
06-03-2025,DEL,4,FO,Airbus,1,0,March,3,Thursday,3,Dec-16,32,5,3,9,0.1562,0.0938,0.2812
06-03-2025,DEL,5,CP,Airbus,1,0,March,3,Thursday,3,16-20,46,12,5,3,0.2609,0.1087,0.0652
06-03-2025,DEL,5,FO,Airbus,1,0,March,3,Thursday,3,16-20,37,9,5,11,0.2432,0.1351,0.2973
06-03-2025,DEL,6,CP,Airbus,1,0,March,3,Thursday,3,20-24,30,12,8,2,0.4,0.2667,0.0667
06-03-2025,DEL,6,FO,Airbus,1,0,March,3,Thursday,3,20-24,23,10,8,4,0.4348,0.3478,0.1739
07-03-2025,DEL,1,CP,Airbus,1,0,March,3,Friday,4,0-4,6,3,1,0,0.5,0.1667,0
07-03-2025,DEL,1,FO,Airbus,1,0,March,3,Friday,4,0-4,6,3,1,0,0.5,0.1667,0
07-03-2025,DEL,2,CP,Airbus,1,0,March,3,Friday,4,04-Aug,48,13,3,9,0.2708,0.0625,0.1875
07-03-2025,DEL,2,FO,Airbus,1,0,March,3,Friday,4,04-Aug,44,13,3,8,0.2955,0.0682,0.1818
07-03-2025,DEL,3,CP,Airbus,1,0,March,3,Friday,4,08-Dec,37,9,6,5,0.2432,0.1622,0.1351
07-03-2025,DEL,3,FO,Airbus,1,0,March,3,Friday,4,08-Dec,34,9,6,7,0.2647,0.1765,0.2059
07-03-2025,DEL,4,CP,Airbus,1,0,March,3,Friday,4,Dec-16,36,5,3,5,0.1389,0.0833,0.1389
07-03-2025,DEL,4,FO,Airbus,1,0,March,3,Friday,4,Dec-16,34,6,3,9,0.1765,0.0882,0.2647
07-03-2025,DEL,5,CP,Airbus,1,0,March,3,Friday,4,16-20,48,10,4,2,0.2083,0.0833,0.0417
07-03-2025,DEL,5,FO,Airbus,1,0,March,3,Friday,4,16-20,38,6,4,7,0.1579,0.1053,0.1842
07-03-2025,DEL,6,CP,Airbus,1,0,March,3,Friday,4,20-24,24,13,7,3,0.5417,0.2917,0.125
07-03-2025,DEL,6,FO,Airbus,1,0,March,3,Friday,4,20-24,28,10,6,4,0.3571,0.2143,0.1429
08-03-2025,DEL,1,CP,Airbus,1,0,March,3,Saturday,5,0-4,4,2,0,1,0.5,0,0.25
08-03-2025,DEL,1,FO,Airbus,1,0,March,3,Saturday,5,0-4,4,1,0,0,0.25,0,0
08-03-2025,DEL,2,CP,Airbus,1,0,March,3,Saturday,5,04-Aug,53,17,4,4,0.3208,0.0755,0.0755
08-03-2025,DEL,2,FO,Airbus,1,0,March,3,Saturday,5,04-Aug,51,19,4,8,0.3725,0.0784,0.1569
