Date,Station,Duty Window Number,Rank,Fleet,Season,IrOps,Month,Month Number,Weekday,Weekday Number,Duty Window,Pairing Start Count,Multi-Day Pairing Count,INT Pairing Count,Standby Activation Count,Planned Standby Count,Multi-Day Pairing Ratio,INT Pairing Ratio,Activation Rate,Year,is_weekend,is_fixed_holiday,is_festival,is_payday_proximity,is_fy_end_proximity,Activation Rate MA7,Activation Rate Vol7,Pairing Start Count MA7,Pairing Start Count Vol7,AR_AboveMean_Flag
2026-01-24,DEL,1,CP,Airbus,1,1,January,1,Saturday,5,0-4,5,2,2,0,0,0.4,0.4,0.0,2026,True,False,False,False,False,0.0,0.0,5.0,0.0,0
2026-01-25,DEL,1,CP,Airbus,1,1,January,1,Sunday,6,0-4,5,3,1,2,2,0.6,0.2,0.4,2026,True,False,False,False,False,0.2,0.28284271247461906,5.0,0.0,1
2026-01-26,DEL,1,CP,Airbus,1,1,January,1,Monday,0,0-4,7,2,1,0,0,0.2857,0.1429,0.0,2026,False,True,False,False,False,0.13333333333333333,0.23094010767585033,5.666666666666667,1.1547005383792515,0
2026-01-27,DEL,1,CP,Airbus,1,1,January,1,Tuesday,1,0-4,8,3,1,1,1,0.375,0.125,0.125,2026,False,False,False,False,False,0.13125,0.18860783829593794,6.25,1.4999999999999998,0
2026-01-28,DEL,1,CP,Airbus,1,1,January,1,Wednesday,2,0-4,4,2,1,0,0,0.5,0.25,0.0,2026,False,False,False,False,False,0.10500000000000001,0.17356554957709783,5.8,1.6431676725154982,0
2026-01-29,DEL,1,CP,Airbus,1,1,January,1,Thursday,3,0-4,5,2,1,1,1,0.4,0.2,0.2,2026,False,False,False,False,False,0.12083333333333335,0.1600130203035574,5.666666666666667,1.505545305418162,1
2026-01-30,DEL,1,CP,Airbus,1,1,January,1,Friday,4,0-4,4,1,1,0,0,0.25,0.25,0.0,2026,False,False,False,False,False,0.10357142857142858,0.1530445002200963,5.428571428571429,1.5118578920369088,0
2026-01-31,DEL,1,CP,Airbus,1,1,January,1,Saturday,5,0-4,8,4,1,1,1,0.5,0.125,0.125,2026,True,False,False,True,False,0.12142857142857144,0.14607972383012544,5.857142857142857,1.7728105208558367,1
2026-02-01,DEL,1,CP,Airbus,1,0,February,2,Sunday,6,0-4,6,4,1,0,0,0.6667,0.1667,0.0,2026,True,False,False,True,False,0.0642857142857143,0.08398554297360607,6.0,1.7320508075688772,0
2026-02-02,DEL,1,CP,Airbus,1,0,February,2,Monday,0,0-4,7,3,1,1,1,0.4286,0.1429,0.1429,2026,False,False,False,True,False,0.0847,0.08311816889224644,6.0,1.7320508075688772,1
2026-02-03,DEL,1,CP,Airbus,1,0,February,2,Tuesday,1,0-4,7,4,1,1,1,0.5714,0.1429,0.1429,2026,False,False,False,True,False,0.08725714285714285,0.08482251778749277,5.857142857142857,1.5735915849388864,1
2026-02-04,DEL,1,CP,Airbus,1,0,February,2,Wednesday,2,0-4,7,4,1,0,0,0.5714,0.1429,0.0,2026,False,False,False,True,False,0.08725714285714285,0.08482251778749277,6.285714285714286,1.3801311186847083,0
2026-02-05,DEL,1,CP,Airbus,1,0,February,2,Thursday,3,0-4,9,3,2,2,2,0.3333,0.2222,0.2222,2026,False,False,False,True,False,0.09042857142857143,0.08999756875023004,6.857142857142857,1.5735915849388862,1
2026-02-06,DEL,1,CP,Airbus,1,0,February,2,Friday,4,0-4,9,3,1,1,1,0.3333,0.1111,0.1111,2026,False,False,False,True,False,0.10629999999999999,0.08070939639637177,7.571428571428571,1.1338934190276817,1
2026-02-07,DEL,1,CP,Airbus,1,0,February,2,Saturday,5,0-4,5,2,1,0,0,0.4,0.2,0.0,2026,True,False,False,True,False,0.08844285714285714,0.08925795682818904,7.142857142857143,1.4638501094227998,0
2026-02-08,DEL,1,CP,Airbus,1,0,February,2,Sunday,6,0-4,6,2,1,1,1,0.3333,0.1667,0.1667,2026,True,False,False,False,False,0.11225714285714286,0.08379946016418915,7.142857142857143,1.4638501094227998,1
2026-01-24,DEL,2,CP,Airbus,1,1,January,1,Saturday,5,04-Aug,43,16,7,7,7,0.3721,0.1628,0.1628,2026,True,False,False,False,False,0.1628,0.0,43.0,0.0,0
2026-01-25,DEL,2,CP,Airbus,1,1,January,1,Sunday,6,04-Aug,48,15,7,5,5,0.3125,0.1458,0.1042,2026,True,False,False,False,False,0.1335,0.04143645737753169,45.5,3.5355339059327378,0
2026-01-26,DEL,2,CP,Airbus,1,1,January,1,Monday,0,04-Aug,46,13,7,10,10,0.2826,0.1522,0.2174,2026,False,True,False,False,False,0.16146666666666668,0.05661177733770009,45.666666666666664,2.5166114784235836,1
2026-01-27,DEL,2,CP,Airbus,1,1,January,1,Tuesday,1,04-Aug,50,13,4,10,10,0.26,0.08,0.2,2026,False,False,False,False,False,0.1711,0.050077939254725735,46.75,2.98607881119482,1
2026-01-28,DEL,2,CP,Airbus,1,1,January,1,Wednesday,2,04-Aug,50,11,6,5,5,0.22,0.12,0.1,2026,False,False,False,False,False,0.15688,0.05377631448881561,47.4,2.9664793948382657,0
2026-01-29,DEL,2,CP,Airbus,1,1,January,1,Thursday,3,04-Aug,50,12,3,8,8,0.24,0.06,0.16,2026,False,False,False,False,False,0.1574,0.04811586017104963,47.833333333333336,2.857738033247042,1
2026-01-30,DEL,2,CP,Airbus,1,1,January,1,Friday,4,04-Aug,55,16,5,8,8,0.2909,0.0909,0.1455,2026,False,False,False,False,False,0.1557,0.04415325582559003,48.857142857142854,3.760699023168054,0
2026-01-31,DEL,2,CP,Airbus,1,1,January,1,Saturday,5,04-Aug,55,14,5,8,8,0.2545,0.0909,0.1455,2026,True,False,False,True,False,0.15322857142857144,0.044173774809861795,50.57142857142857,3.3594217189442457,0
2026-02-01,DEL,2,CP,Airbus,1,0,February,2,Sunday,6,04-Aug,53,17,4,6,6,0.3208,0.0755,0.1132,2026,True,False,False,True,False,0.1545142857142857,0.042612299811651745,51.285714285714285,3.2513733362117305,0
2026-02-02,DEL,2,CP,Airbus,1,0,February,2,Monday,0,04-Aug,55,13,6,7,7,0.2364,0.1091,0.1273,2026,False,False,False,True,False,0.14164285714285713,0.03296750203573499,52.57142857142857,2.5071326821120414,0
